ImageURL,ImageDescription
'https://www.themealdb.com/images/media/meals/va668f1683209318.jpg','photo of Tortang Talong'
'https://www.themealdb.com/images/media/meals/rvxxuy1468312893.jpg','photo of Vegan Lasagna'
'https://www.themealdb.com/images/media/meals/qxutws1486978099.jpg','photo of Vegan Chocolate Cake'
'https://www.themealdb.com/images/media/meals/qqwypw1504642429.jpg','photo of Vietnamese Grilled Pork (bun-thit-nuong)'
'https://www.themealdb.com/images/media/meals/qvrwpt1511181864.jpg','photo of Venetian Duck Ragu'
'https://www.themealdb.com/images/media/meals/vptwyt1511450962.jpg','photo of Vegetarian Casserole'
'https://www.themealdb.com/images/media/meals/wqurxy1511453156.jpg','photo of Vegetarian Chilli'
'https://www.themealdb.com/images/media/meals/w8umt11583268117.jpg','photo of Vegetable Shepherd's Pie'
'https://www.themealdb.com/images/media/meals/uryqru1511798039.jpg','photo of White chocolate creme brulee'
'https://www.themealdb.com/images/media/meals/1525876468.jpg','photo of Wontons'
'https://www.themealdb.com/images/media/meals/u9l7k81628771647.jpg','photo of Walnut Roll Guvara'
'https://www.themealdb.com/images/media/meals/wrustq1511475474.jpg','photo of Yaki Udon'
