RecipeID,StepNumber,StepDescription
4,20,'Let chicken rest for 5 minutes'
4,21,' Brush the chicken with some of the oil'
4,22,' Serve chicken with the sauce over steamed rice (or coconut rice)'
5,1,'To make the pastry measure the flour into a bowl and rub in the butter with your fingertips until the mixture resembles fine breadcrumbs'
5,2,' Add the water mixing to form a soft dough'
5,3,'Roll out the dough on a lightly floured work surface and use to line a 20cm/8in flan tin'
5,4,' Leave in the fridge to chill for 30 minutes'
5,5,'Preheat the oven to 200C/400F/Gas 6 (180C fan)'
5,6,'Line the pastry case with foil and fill with baking beans'
5,7,' Bake blind for about 15 minutes then remove the beans and foil and cook for a further five minutes to dry out the base'
5,8,'For the filing spread the base of the flan generously with raspberry jam'
5,9,'Melt the butter in a pan take off the heat and then stir in the sugar'
5,10,' Add ground almonds egg and almond extract'
5,11,' Pour into the flan tin and sprinkle over the flaked almonds'
5,12,'Bake for about 35 minutes'
5,13,' If the almonds seem to be browning too quickly cover the tart loosely with foil to prevent them burning'
6,1,'Grease a 1 litre/2 pint pie dish with butter'
6,2,'Cut the crusts off the bread'
6,3,' Spread each slice with on one side with butter then cut into triangles'
6,4,'Arrange a layer of bread buttered-side up in the bottom of the dish then add a layer of sultanas'
6,5,' Sprinkle with a little cinnamon then repeat the layers of bread and sultanas sprinkling with cinnamon until you have used up all of the bread'
6,6,' Finish with a layer of bread then set aside'
6,7,'Gently warm the milk and cream in a pan over a low heat to scalding point'
6,8,' Dont let it boil'
6,9,'Crack the eggs into a bowl add three quarters of the sugar and lightly whisk until pale'
6,10,'Add the warm milk and cream mixture and stir well then strain the custard into a bowl'
6,11,'Pour the custard over the prepared bread layers and sprinkle with nutmeg and the remaining sugar and leave to stand for 30 minutes'
6,12,'Preheat the oven to 180C/355F/Gas 4'
6,13,'Place the dish into the oven and bake for 30-40 minutes or until the custard has set and the top is golden-brown'
7,1,'Put the mushrooms into a food processor with some seasoning and pulse to a rough paste'
7,2,' Scrape the paste into a pan and cook over a high heat for about 10 mins tossing frequently to cook out the moisture from the mushrooms'
7,3,' Spread out on a plate to cool'
7,4,'Heat in a frying pan and add a little olive oil'
7,5,' Season the beef and sear in the hot pan for 30 secs only on each side'
7,6,' (You dont want to cook it at this stage just colour it)'
7,7,' Remove the beef from the pan and leave to cool then brush all over with the mustard'
7,8,'Lay a sheet of cling film on a work surface and arrange the Parma ham slices on it in slightly overlapping rows'
7,9,' With a palette knife spread the mushroom paste over the ham then place the seared beef fillet in the middle'
7,10,' Keeping a tight hold of the cling film from the edge neatly roll the Parma ham and mushrooms around the beef to form a tight barrel shape'
7,11,' Twist the ends of the cling film to secure'
7,12,' Chill for 15-20 mins to allow the beef to set and keep its shape'
7,13,'Roll out the puff pastry on a floured surface to a large rectangle the thickness of a 1 coin'
7,14,' Remove the cling film from the beef then lay in the centre'
7,15,' Brush the surrounding pastry with egg yolk'
7,16,' Fold the ends over the wrap the pastry around the beef cutting off any excess'
7,17,' Turn over so the seam is underneath and place on a baking sheet'
7,18,' Brush over all the pastry with egg and chill for about 15 mins to let the pastry rest'
7,19,'Heat the oven to 200C 400F gas 6'
7,20,'Lightly score the pastry at 1cm intervals and glaze again with beaten egg yolk'
7,21,' Bake for 20 minutes then lower the oven setting to 180C 350F gas 4 and cook for another 15 mins'
7,22,' Allow to rest for 10-15 mins before slicing and serving with the side dishes of your choice'
7,23,' The beef should still be pink in the centre when you serve it'
8,1,'Rinse the baingan (eggplant or aubergine) in water'
8,2,' Pat dry with a kitchen napkin'
8,3,' Apply some oil all over andkeep it for roasting on an open flame'
8,4,' You can also grill the baingan or roast in the oven'
8,5,' But then you wont getthe smoky flavor of the baingan'
8,6,' Keep the eggplant turning after a 2 to 3 minutes on the flame so that its evenlycooked'
8,7,' You could also embed some garlic cloves in the baingan and then roast it'
8,8,'2'
8,9,' Roast the aubergine till its completely cooked and tender'
8,10,' With a knife check the doneness'
8,11,' The knife should slideasily in aubergines without any resistance'
8,12,' Remove the baingan and immerse in a bowl of water till it coolsdown'
8,13,'3'
8,14,' You can also do the dhungar technique of infusing charcoal smoky flavor in the baingan'
8,15,' This is an optional step'
8,16,'Use natural charcoal for this method'
8,17,' Heat a small piece of charcoal on flame till it becomes smoking hot and red'
8,18,'4'
8,19,' Make small cuts on the baingan with a knife'
8,20,' Place the red hot charcoal in the same plate where the roastedaubergine is kept'
8,21,' Add a few drops of oil on the charcoal'
8,22,' The charcoal would begin to smoke'
8,23,'5'
8,24,' As soon as smoke begins to release from the charcoal cover the entire plate tightly with a large bowl'
8,25,' Allow thecharcoal smoke to get infused for 1 to 2 minutes'
8,26,' The more you do the more smoky the baingan bharta willbecome'
8,27,' I just keep for a minute'
8,28,' Alternatively you can also do this dhungar method once the baingan bharta iscooked just like the way we do for Dal Tadka'
8,29,'6'
8,30,' Peel the skin from the roasted and smoked eggplant'
8,31,'7'
8,32,' Chop the cooked eggplant finely or you can even mash it'
8,33,'8'
8,34,' In a kadai or pan heat oil'
8,35,' Then add finely chopped onions and garlic'
8,36,'9'
8,37,' Saute the onions till translucent'
8,38,' Dont brown them'
8,39,'10'
8,40,' Add chopped green chilies and saute for a minute'
8,41,'11'
8,42,' Add the chopped tomatoes and mix it well'
8,43,'12'
8,44,' Bhuno (saute) the tomatoes till the oil starts separating from the mixture'
8,45,'13'
8,46,' Now add the red chili powder'
8,47,' Stir and mix well'
8,48,'14'
8,49,' Add the chopped cooked baingan'
8,50,'15'
8,51,' Stir and mix the chopped baingan very well with the oniontomato masala mixture'
8,52,'16'
8,53,' Season with salt'
8,54,' Stir and saute for some more 4 to 5 minutes more'
8,55,'17'
8,56,' Finally stir in the coriander leaves with the baingan bharta or garnish it with them'
8,57,' Serve Baingan Bharta withphulkas rotis or chapatis'
8,58,' It goes well even with bread toasted or grilled bread and plain rice or jeera rice'
9,1,'1 Prepare the brisket for cooking: On one side of the brisket there should be a layer of fat which you want'
9,2,' If there are any large chunks of fat cut them off and discard them'
9,3,' Large pieces of fat will not be able to render out completely'
9,4,'Using a sharp knife score the fat in parallel lines about 3/4-inch apart'
9,5,' Slice through the fat not the beef'
9,6,' Repeat in the opposite direction to make a cross-hatch pattern'
9,7,'Salt the brisket well and let it sit at room temperature for 30 minutes'
9,8,' 2 Sear the brisket: Youll need an oven-proof thick-bottomed pot with a cover or Dutch oven that is just wide enough to hold the brisket roast with a little room for the onions'
9,9,'Pat the brisket dry and place it fatty side down into the pot and place it on medium high heat'
9,10,' Cook for 5-8 minutes lightly sizzling until the fat side is nicely browned'
9,11,' (If the roast seems to be cooking too fast turn the heat down to medium'
9,12,' You want a steady sizzle not a raging sear'
9,13,')Turn the brisket over and cook for a few minutes more to brown the other side'
9,14,'3 Saut the onions and garlic: When the brisket has browned remove it from the pot and set aside'
9,15,' There should be a couple tablespoons of fat rendered in the pot if not add some olive oil'
9,16,'Add the chopped onions and increase the heat to high'
9,17,' Sprinkle a little salt on the onions'
9,18,' Saut stirring often until the onions are lightly browned 5-8 minutes'
9,19,' Stir in the garlic and cook 1-2 more minutes'
9,20,' 4 Return brisket to pot add herbs stock bring to simmer cover cook in oven: Preheat the oven to 300F'
9,21,' Use kitchen twine to tie together the bay leaves rosemary and thyme'
9,22,'Move the onions and garlic to the sides of the pot and nestle the brisket inside'
9,23,' Add the beef stock and the tied-up herbs'
9,24,' Bring the stock to a boil on the stovetop'
9,25,'Cover the pot place the pot in the 300F oven and cook for 3 hours'
9,26,' Carefully flip the brisket every hour so it cooks evenly'
9,27,' 5 Add carrots continue to cook: After 3 hours add the carrots'
9,28,' Cover the pot and cook for 1 hour more or until the carrots are cooked through and the brisket is falling-apart tender'
9,29,'6 Remove brisket to cutting board tent with foil: When the brisket is falling-apart tender take the pot out of the oven and remove the brisket to a cutting board'
9,30,' Cover it with foil'
9,31,' Pull out and discard the herbs'
9,32,'7 Make sauce (optional): At this point you have two options'
9,33,' You can serve as is or you can make a sauce with the drippings and some of the onions'
9,34,' If you serve as is skip this step'
9,35,'To make a sauce remove the carrots and half of the onions set aside and cover them with foil'
9,36,' Pour the ingredients that are remaining into the pot into a blender and pure until smooth'
9,37,' If you want add 1 tablespoon of mustard to the mix'
9,38,' Put into a small pot and keep warm'
9,39,'8 Slice the meat across the grain: Notice the lines of the muscle fibers of the roast'
9,40,' This is the grain of the meat'
9,41,' Slice the meat perpendicular to these lines or across the grain (cutting this way further tenderizes the meat) in 1/4-inch to 1/2-inch slices'
9,42,'Serve with the onions carrots and gravy'
9,43,' Serve with mashed roasted or boiled potatoes egg noodles or polenta'
10,1,'Cook the Broccoli and Carrots in a pan of boiling water until tender'
10,2,'Roast the Beef and Potatoes in the oven for 45mins the potatoes may need to be checked regularly to not overcook'
10,3,'To make the Yorkshire puddings:Heat oven to 230C/fan 210C/gas 8'
10,4,' Drizzle a little sunflower oil evenly into 2 x 4-hole Yorkshire pudding tins or a 12-hole non-stick muffin tin and place in the oven to heat throughTo make the batter tip 140g plain flour into a bowl and beat in four eggs until smooth'
10,5,' Gradually add 200ml milk and carry on beating until the mix is completely lump-free'
10,6,' Season with salt and pepper'
10,7,' Pour the batter into a jug then remove the hot tins from the oven'
10,8,' Carefully and evenly pour the batter into the holes'
10,9,' Place the tins back in the oven and leave undisturbed for 20-25 mins until the puddings have puffed up and browned'
10,10,' Serve immediately'
10,11,'Plate up and add the Gravy as desired'
11,1,'Preheat the oven to 120C/225F/gas mark 1'
11,2,'Take the meat out of the fridge to de-chill'
11,3,' Pulse the onions and garlic in a food processor until finely chopped'
11,4,' Heat 2 tbsp olive oil in a large casserole and sear the meat on all sides until golden'
11,5,'Set to one side and add another small slug of oil to brown the chorizo'
11,6,' Remove and add the onion and garlic spices herbs and chillies then cook until soft in the chorizo oil'
11,7,' Season with salt and pepper and add the vinegar tomatoes ketchup and sugar'
11,8,'Put all the meat back into the pot with 400ml water (or red wine if you prefer) bring up to a simmer and cook covered in the low oven'
11,9,'After 2 hours check the meat and add the beans'
11,10,' Cook for a further hour and just before serving pull the meat apart with a pair of forks'
12,1,'Heat the olive oil in a non-stick frying pan then add the sliced onion and cook on a medium heat until completely softened so around 15 mins adding a little splash of water if they start to stick at all'
12,2,' Crush in the garlic and cook for a 2-3 mins further then add the butter'
12,3,' Once the butter is foaming a little add the mushrooms and cook for around 5 mins until completely softened'
12,4,' Season everything well then tip onto a plate'
12,5,'Tip the flour into a bowl with a big pinch of salt and pepper then toss the steak in the seasoned flour'
12,6,' Add the steak pieces to the pan splashing in a little oil if the pan looks particularly dry and fry for 3-4 mins until well coloured'
12,7,' Tip the onions and mushrooms back into the pan'
12,8,' Whisk the crme frache mustard and beef stock together then pour into the pan'
12,9,' Cook over a medium heat for around 5 mins'
12,10,' Scatter with parsley then serve with pappardelle or rice'
13,1,'Heat the rapeseed oil in a large saucepan and then add the onions'
13,2,' Cook on a medium heat until soft'
13,3,' Add a splash of water if the onions start to catch'
13,4,'Add the celery leek potato and a knob of butter'
13,5,' Stir until melted then cover with a lid'
13,6,' Allow to sweat for 5 minutes'
13,7,' Remove the lid'
13,8,'Pour in the stock and add any chunky bits of broccoli stalk'
13,9,' Cook for 10  15 minutes until all the vegetables are soft'
13,10,'Add the rest of the broccoli and cook for a further 5 minutes'
13,11,' Carefully transfer to a blender and blitz until smooth'
13,12,' Stir in the stilton allowing a few lumps to remain'
13,13,' Season with black pepper and serve'
14,1,'In a large casserole fry the sausages until brown all over  about 10 mins'
14,2,'Add the tomato sauce stirring well then stir in the beans treacle or sugar and mustard'
14,3,' Bring to the simmer cover and cook for 30 mins'
14,4,' Great served with crusty bread or rice'
15,1,'In a bowl mash the banana with a fork until it resembles a thick pure'
15,2,' Stir in the eggs baking powder and vanilla'
15,3,'Heat a large non-stick frying pan or pancake pan over a medium heat and brush with half the oil'
15,4,' Using half the batter spoon two pancakes into the pan cook for 1-2 mins each side then tip onto a plate'
15,5,' Repeat the process with the remaining oil and batter'
15,6,' Top the pancakes with the pecans and raspberries'
16,1,'Preheat the oven to 180C/350F/Gas 4'
16,2,'For the beef stew heat the oil and butter in an ovenproof casserole and fry the beef until browned on all sides'
16,3,'Sprinkle over the flour and cook for a further 2-3 minutes'
16,4,'Add the garlic and all the vegetables and fry for 1-2 minutes'
16,5,'Stir in the wine stock and herbs then add the Worcestershire sauce and balsamic vinegar to taste'
16,6,' Season with salt and freshly ground black pepper'
16,7,'Cover with a lid transfer to the oven and cook for about two hours or until the meat is tender'
16,8,'For the dumplings sift the flour baking powder and salt into a bowl'
16,9,'Add the suet and enough water to form a thick dough'
16,10,'With floured hands roll spoonfuls of the dough into small balls'
16,11,'After two hours remove the lid from the stew and place the balls on top of the stew'
16,12,' Cover return to the oven and cook for a further 20 minutes or until the dumplings have swollen and are tender'
16,13,' (If you prefer your dumplings with a golden top leave the lid off when returning to the oven'
16,14,')To serve place a spoonful of mashed potato onto each of four serving plates and top with the stew and dumplings'
16,15,' Sprinkle with chopped parsley'
17,1,'Preheat the oven to 150C/300F/Gas 2'
17,2,'Toss the beef and flour together in a bowl with some salt and black pepper'
17,3,'Heat a large casserole until hot add half of the rapeseed oil and enough of the beef to just cover the bottom of the casserole'
17,4,'Fry until browned on each side then remove and set aside'
17,5,' Repeat with the remaining oil and beef'
17,6,'Return the beef to the pan add the wine and cook until the volume of liquid has reduced by half then add the stock onion carrots thyme and mustard and season well with salt and pepper'
17,7,'Cover with a lid and place in the oven for two hours'
17,8,'Remove from the oven check the seasoning and set aside to cool'
17,9,' Remove the thyme'
17,10,'When the beef is cool and youre ready to assemble the pie preheat the oven to 200C/400F/Gas 6'
17,11,'Transfer the beef to a pie dish brush the rim with the beaten egg yolks and lay the pastry over the top'
17,12,' Brush the top of the pastry with more beaten egg'
17,13,'Trim the pastry so there is just enough excess to crimp the edges then place in the oven and bake for 30 minutes or until the pastry is golden-brown and cooked through'
17,14,'For the green beans bring a saucepan of salted water to the boil add the beans and cook for 4-5 minutes or until just tender'
17,15,'Drain and toss with the butter then season with black pepper'
17,16,'To serve place a large spoonful of pie onto each plate with some green beans alongside'
18,1,'Season the beef cubes with salt and black pepper'
18,2,' Heat a tablespoon of oil in the frying pan and fry the meat over a high heat'
18,3,' Do this in three batches so that you dont overcrowd the pan transferring the meat to a large flameproof casserole dish once it is browned all over'
18,4,' Add extra oil if the pan seems dry'
18,5,'In the same pan add another tablespoon of oil and cook the shallots for 4-5 minutes then add the garlic and fry for 30 seconds'
18,6,' Add the bacon and fry until slightly browned'
18,7,' Transfer the onion and bacon mixture to the casserole dish and add the herbs'
18,8,'Preheat the oven to 180C/350F/Gas 4'
18,9,'Pour the stout into the frying pan and bring to the boil stirring to lift any stuck-on browned bits from the bottom of the pan'
18,10,' Pour the stout over the beef in the casserole dish and add the stock'
18,11,' Cover the casserole and place it in the oven for 1-2 hours or until the beef is tender and the sauce is reduced'
18,12,'Skim off any surface fat taste and add salt and pepper if necessary then stir in the cornflour paste'
18,13,' Put the casserole dish on the hob  dont forget that it will be hot  and simmer for 1-2 minutes stirring until thickened'
18,14,' Leave to cool'
18,15,'Increase the oven to 200C/400F/Gas 6'
18,16,' To make the pastry put the flour and salt in a very large bowl'
18,17,' Grate the butter and stir it into the flour in three batches'
18,18,' Gradually add 325ml/11fl oz cold water  you may not need it all  and stir with a round-bladed knife until the mixture just comes together'
18,19,' Knead the pastry lightly into a ball on a lightly floured surface and set aside 250g/9oz for the pie lid'
18,20,'Roll the rest of the pastry out until about 2cm/in larger than the dish youre using'
18,21,' Line the dish with the pastry then pile in the filling tucking the oysters in as well'
18,22,' Brush the edge of the pastry with beaten egg'
18,23,'Roll the remaining pastry until slightly larger than your dish and gently lift over the filling pressing the edges firmly to seal then trim with a sharp knife'
18,24,' Brush with beaten egg to glaze'
18,25,' Put the dish on a baking tray and bake for 25-30 minutes or until the pastry is golden-brown and the filling is bubbling'
19,1,'For the biscuits preheat the oven to 200C/180C (fan)/Gas 6 and line two large baking trays with baking parchment'
19,2,' Scatter the nuts over a baking tray and roast in the oven for 6-8 minutes or until golden-brown'
19,3,' Watch them carefully so that they dont have a chance to burn'
19,4,' Remove from the oven tip onto a board and leave to cool'
19,5,'Put the butter and sugar in a large bowl and beat with a wooden spoon until light and creamy'
19,6,' Roughly chop the cooled nuts and add to the creamed butter and sugar along with the lemon zest flour and baking powder'
19,7,' Stir well until the mixture comes together and forms a ball  you may need to use your hands'
19,8,'Divide the biscuit dough into 24 even pieces and roll into small balls'
19,9,' Place the balls the prepared baking trays spaced well apart to allow for spreading'
19,10,'Press the biscuits to flatten to around 1cm/in thick'
19,11,' Bake the biscuits one tray at a time for 12 minutes or until very pale golden-brown'
19,12,' Leave to cool on the trays'
19,13,' They will be very soft when you take them out of the oven but will crisp as they cool'
19,14,'Store in an airtight tin and eat within five days'
19,15,'For the fool rinse the blackberries in a colander to wash away any dust or dirt'
19,16,' Put the blackberries in a non-stick saucepan and sprinkle over the caster sugar'
19,17,'Stir in the lemon juice and heat gently for two minutes or until the blackberries begin to soften and release their juices'
19,18,' Remove and reserve 12 blackberries for decoration and continue cooking the rest'
19,19,'Simmer the blackberries very gently for 15 minutes stirring regularly until very soft and squidgy'
19,20,' Remove from the heat and press the berries and juice through a sieve over a bowl using the bottom of a ladle to help you extract as much of the pure as possible'
19,21,' Leave the pure to cool and discard the seeds'
19,22,' You should end up with around 325ml/11fl oz of pure'
19,23,'Put the cream and yoghurt in a large bowl and whip with an electric whisk until soft peaks form when the whisk is removed from the bowl  the acidity of the fruit will thicken the cream further so dont take it too far'
19,24,'When the pure is completely cold adjust the sweetness to taste by adding more sugar if needed'
19,25,' Pour it into the bowl with the whipped cream and yoghurt and stir just once or twice until very lightly combined'
19,26,'Spoon the blackberry fool into individual wide glass dishes  or one large single bowl'
19,27,' It should look quite marbled so dont over-stir it'
19,28,' Scatter a few tiny mint leaves on top and decorate with the reserved blackberries'
19,29,' Sprinkle with a little sugar if you like and serve with the hazelnut biscuits'
20,1,'Heat oven to 180C/160C fan/gas 4 and line the base and sides of a 20cm square tin with baking parchment (the easiest way is to cross 2 x 20cm-long strips over the base)'
20,2,' To make the almond sponge put the butter sugar flour ground almonds baking powder eggs vanilla and almond extract in a large bowl'
20,3,' Beat with an electric whisk until the mix comes together smoothly'
20,4,' Scrape into the tin spreading to the corners and bake for 25-30 mins  when you poke in a skewer it should come out clean'
20,5,' Cool in the tin for 10 mins then transfer to a wire rack to finish cooling while you make the second sponge'
20,6,'For the pink sponge line the tin as above'
20,7,' Mix all the ingredients together as above but dont add the almond extract'
20,8,' Fold in some pink food colouring'
20,9,' Then scrape it all into the tin and bake as before'
20,10,' Cool'
20,11,'To assemble heat the jam in a small pan until runny then sieve'
20,12,' Barely trim two opposite edges from the almond sponge then well trim a third edge'
20,13,' Roughly measure the height of the sponge then cutting from the well-trimmed edge use a ruler to help you cut 4 slices each the same width as the sponge height'
20,14,' Discard or nibble leftover sponge'
20,15,' Repeat with pink cake'
20,16,'Take 2 x almond slices and 2 x pink slices and trim so they are all the same length'
20,17,' Roll out one marzipan block on a surface lightly dusted with icing sugar to just over 20cm wide then keep rolling lengthways until the marzipan is roughly 0'
20,18,'5cm thick'
20,19,' Brush with apricot jam then lay a pink and an almond slice side by side at one end of the marzipan brushing jam in between to stick sponges and leaving 4cm clear marzipan at the end'
20,20,' Brush more jam on top of the sponges then sandwich remaining 2 slices on top alternating colours to give a checkerboard effect'
20,21,' Trim the marzipan to the length of the cakes'
20,22,'Carefully lift up the marzipan and smooth over the cake with your hands but leave a small marzipan fold along the bottom edge before you stick it to the first side'
20,23,' Trim opposite side to match size of fold then crimp edges using fingers and thumb (or more simply press with prongs of fork)'
20,24,' If you like mark the 10 slices using the prongs of a fork'
20,25,'Assemble second Battenberg and keep in an airtight box or well wrapped in cling film for up to 3 days'
20,26,' Can be frozen for up to a month'
21,1,'Heat a large casserole pan and add 1 tbsp goose fat'
21,2,' Season the beef and fry until golden brown about 3-5 mins then turn over and fry the other side until the meat is browned all over adding more fat if necessary'
21,3,' Do this in 2-3 batches transferring the meat to a colander set over a bowl when browned'
21,4,'In the same pan fry the bacon shallots or pearl onions mushrooms garlic and bouquet garni until lightly browned'
21,5,' Mix in the tomato pure and cook for a few mins stirring into the mixture'
21,6,' This enriches the bourguignon and makes a great base for the stew'
21,7,' Then return the beef and any drained juices to the pan and stir through'
21,8,'Pour over the wine and about 100ml water so the meat bobs up from the liquid but isnt completely covered'
21,9,' Bring to the boil and use a spoon to scrape the caramelised cooking juices from the bottom of the pan  this will give the stew more flavour'
21,10,'Heat oven to 150C/fan 130C/gas 2'
21,11,' Make a cartouche: tear off a square of foil slightly larger than the casserole arrange it in the pan so it covers the top of the stew and trim away any excess foil'
21,12,' Then cook for 3 hrs'
21,13,' If the sauce looks watery remove the beef and veg with a slotted spoon and set aside'
21,14,' Cook the sauce over a high heat for a few mins until the sauce has thickened a little then return the beef and vegetables to the pan'
21,15,'To make the celeriac mash peel the celeriac and cut into cubes'
21,16,' Heat the olive oil in a large frying pan'
21,17,' Tip in the celeriac and fry for 5 mins until it turns golden'
21,18,' Season well with salt and pepper'
21,19,' Stir in the rosemary thyme bay and cardamom pods then pour over 200ml water enough to nearly cover the celeriac'
21,20,' Turn the heat to low partially cover the pan and leave to simmer for 25-30 mins'
21,21,'After 25-30 mins the celeriac should be soft and most of the water will have evaporated'
21,22,' Drain away any remaining water then remove the herb sprigs bay and cardamom pods'
21,23,' Lightly crush with a potato masher then finish with a glug of olive oil and season to taste'
21,24,' Spoon the beef bourguignon into serving bowls and place a large spoonful of the celeriac mash on top'
21,25,' Garnish with one of the bay leaves if you like'
22,1,'Mix the flour 1 tsp salt caster sugar yeast milk and eggs together in a mixer using the dough attachment for 5 mins until the dough is smooth'
22,2,' Add the butter and mix for a further 4 mins on medium speed'
22,3,' Scrape the dough bowl and mix again for 1 min'
22,4,' Place the dough in a container cover with cling film and leave in the fridge for at least 6 hrs before using'
22,5,'Wrap the Brie in the prosciutto and set aside'
22,6,' Turn out the dough onto a lightly floured surface'
22,7,' Roll into a 25cm circle'
22,8,' Place the wrapped Brie in the middle of the circle and fold the edges in neatly'
22,9,' Put the parcel onto a baking tray lined with baking parchment and brush with beaten egg'
22,10,' Chill in the fridge for 30 mins then brush again with beaten egg and chill for a further 30 mins'
22,11,' Leave to rise for 1 hr at room temperature'
22,12,' Heat oven to 200C/180C fan/gas 6 then bake for 22 mins'
22,13,' Serve warm'
23,1,'Heat oven to 200C/fan 180C/gas 6'
23,2,' Fry the onions and thyme sprigs in the oil until softened and lightly coloured (about 5 mins)'
23,3,'Spread a layer of potatoes over the base of a 1'
23,4,'5-litre oiled gratin dish'
23,5,' Sprinkle over a few onions (see picture above) and continue layering finishing with a layer of potatoes'
23,6,' Pour over the stock and bake for 50-60 mins until the potatoes are cooked and the top is golden and crisp'
24,1,'In the bowl of a stand mixer add warm water a big pinch of sugar and yeast'
24,2,' Allow to sit until frothy'
24,3,'Into the same bowl add 1/2 cup sugar warm milk melted butter eggs and salt and whisk until combined'
24,4,'Place a dough hook on the mixer add the flour with the machine on until a smooth but slightly sticky dough forms'
24,5,'Place dough in a bowl cover with plastic wrap and allow to proof for 1 1/2 hours'
24,6,'Cut dough into 12 pieces and roll out into long oval-like shapes about 1/4 inch thick that resemble a beavers tail'
24,7,'In a large deep pot heat oil to 350 degrees'
24,8,' Gently place beavertail dough into hot oil and cook for 30 to 45 seconds on each side until golden brown'
24,9,'Drain on paper towels and garnish as desired'
24,10,' Toss in cinnamon sugar in white sugar with a squeeze of lemon or with a generous slathering of Nutella and a handful of toasted almonds'
25,1,'Squeeze lime over chicken and rub well'
25,2,' Drain off excess lime juice'
25,3,'Combine tomato scallion onion garlic pepper thyme pimento and soy sauce in a large bowl with the chicken pieces'
25,4,' Cover and marinate at least one hour'
25,5,'Heat oil in a dutch pot or large saucepan'
25,6,' Shake off the seasonings as you remove each piece of chicken from the marinade'
25,7,' Reserve the marinade for sauce'
25,8,'Lightly brown the chicken a few pieces at a time in very hot oil'
25,9,' Place browned chicken pieces on a plate to rest while you brown the remaining pieces'
25,10,'Drain off excess oil and return the chicken to the pan'
25,11,' Pour the marinade over the chicken and add the carrots'
25,12,' Stir and cook over medium heat for 10 minutes'
25,13,'Mix flour and coconut milk and add to stew stirring constantly'
